,Marca,Modelo,Carroceria,Largo,Alto,Ancho,Peso,Maletero,Depósito,Potencia,Plazas,Isofix,Consumo,Combustible,Emisiones,Etiqueta,Precio,Valoración
54,Nissan,['X-Trail'],SUV Grande,4.680 m,1.695 m,1.84 m,1781 kg,585 l,55 l,163 CV,5 y 7,4.0,6.9-7.2 l/100Km,['MHEV Gasolina'],157-163 g/Km,"[' C', ' Eco', ' Zero']",32.900 €,"3,5"
55,Opel,"['Combo', 'Life']",Monovolumen Pequeño,4.450 m,1.880 m,1.848 m,1505 kg,1050 l,50 l,100-130 CV,7,3.0,6.0 l/100Km,[' Diesel'],138-148 g/Km,[' C'],25.727 €,"3,3"
56,Opel,['Frontera'],SUV Mediano,4.380 m,1.627 m,1.795 m,1260 kg,460 l,44 l,110-146 CV,5 y 7,2.0,5.2 l/100Km,['MHEV Gasolina'],118 g/Km,"[' C', ' Eco', ' Zero']",19.900 €,"3,2"
57,Opel,"['Frontera', 'eléctrico']",SUV Mediano,4.380 m,1.640 m,1.795 m,1514 kg,460 l,-,113 CV,7,2.0,305 Kms,[' Eléctrico'],0 g/Km,[' Zero'],16.900 €,"3,4"
58,Opel,"['Zafira-e', 'Life', 'eléctrico']",Monovolumen Grande,4.606 m,1.910 m,1.924 m,2155 kg,597 l,-,136 CV,7,2.0,218-347 Kms,[' Eléctrico'],0 g/Km,[' Zero'],50.164 €,"3,1"
59,Opel,['Zafira'],Monovolumen Mediano,4.658 m,1.890 m,1.92 m,1709 kg,645 l,70 l,120-177 CV,7,2.0,4.8-7.2 l/100Km,[' Diesel'],190-192 g/Km,"[' C', ' Zero']",36.900 €,"3,5"
60,Peugeot,['5008'],SUV Grande,4.791 m,1.694 m,1.895 m,1705 kg,348 l,55 l,145 CV,7,3.0,5.8 l/100Km,['MHEV Gasolina'],130 g/Km,"[' C', ' Eco', ' Zero']",35.010 €,"3,6"
61,Peugeot,"['5008', 'híbrido']",SUV Mediano,4.791 m,1.694 m,1.895 m,2048 kg,348 l,60 l,195 CV,7,3.0,1.0 l/100Km,['PHEV Gasolina'],23 g/Km,"[' Eco', ' Zero']",37.660 €,"3,8"
62,Peugeot,"['5008', 'eléctrico']",SUV Mediano,4.790 m,1.694 m,1.895 m,2218 kg,348 l,-,214-231 CV,7,3.0,500-668 Kms,[' Eléctrico'],0 g/Km,[' Zero'],37.660 €,"3,7"
63,Peugeot,['Rifter'],Monovolumen Pequeño,4.400 m,1.880 m,1.848 m,1529 kg,775 l,50 l,100-130 CV,5 y 7,3.0,5.3-5.7 l/100Km,[' Diesel'],140-150 g/Km,"[' C', ' Eco']",26.458 €,"3,6"
64,Peugeot,"['e-Rifter', 'eléctrico']",Monovolumen Pequeño,4.403 m,1.820 m,1.848 m,1854 kg,775 l,-,136 CV,7,3.0,329-340 Kms,[' Eléctrico'],0 g/Km,[' Zero'],37.858 €,"3,2"
65,Peugeot,['Traveller'],Monovolumen Grande,4.650 m,1.895 m,1.92 m,2025 kg,507 l,69 l,180 CV,9,7.0,7.2-7.3 l/100Km,[' Diesel'],190-193 g/Km,[' C'],47.228 €,"3,0"
66,Land Rover,['Rover'],SUV XXL,5.052 m,1.870 m,2.05 m,2328 kg,818 l,80 l,300-615 CV,5 y 7,5.0,7.4-11.8 l/100Km,"['MHEV Diesel', 'MHEV Gasolina']",194-266 g/Km,"[' C', ' Eco', ' Zero']",152.124 €,"4,3"
67,Renault,['Espace'],SUV Grande,4.857 m,1.645 m,1.843 m,1584 kg,581 l,55 l,200 CV,5 y 7,3.0,4.6-5.0 l/100Km,['HEV Gasolina'],105-113 g/Km,"[' Eco', ' Zero']",38.438 €,"3,4"
68,Renault,"['Grand', 'Scenic']",Monovolumen Mediano,4.560 m,1.660 m,1.866 m,1616 kg,533 l,53 l,140-160 CV,7,3.0,6.5-6.6 l/100Km,[' Gasolina'],126-140 g/Km,[' C'],29.145 €,"3,4"
69,Peugeot,['5008'],SUV Grande,4.791 m,1.694 m,1.895 m,1705 kg,348 l,55 l,145 CV,7,3.0,5.8 l/100Km,['MHEV Gasolina'],130 g/Km,"[' C', ' Eco', ' Zero']",35.010 €,"3,6"
70,SEAT,['Alhambra'],Monovolumen Grande,4.854 m,1.740 m,1.904 m,1715 kg,955 l,70 l,150 CV,7,3.0,7.0 l/100Km,[' Gasolina'],130-150 g/Km,[' C'],35.800 €,"3,8"
71,SEAT,['Tarraco'],SUV Grande,4.735 m,1.674 m,1.839 m,1578 kg,760 l,58 l,150 CV,5 y 7,3.0,5.3-6.8 l/100Km,"[' Diesel', ' Gasolina']",141-159 g/Km,"[' C', ' Eco']",30.311 €,"3,8"
72,Skoda,"['Enyaq', 'iV', 'eléctrico']",SUV Mediano,4.648 m,1.622 m,1.879 m,2022 kg,585 l,-,170-340 CV,7,3.0,0-580 Kms,[' Eléctrico'],0 g/Km,[' Zero'],37.500 €,"4,0"
73,Skoda,['Kodiaq'],SUV Grande,4.758 m,1.678 m,1.864 m,1709 kg,910 l,55 l,150-265 CV,5 y 7,4.0,5.3-8.2 l/100Km,"[' Diesel', ' Gasolina', 'MHEV Gasolina']",135-186 g/Km,"[' C', ' Eco', ' Zero']",37.550 €,"4,0"
74,Skoda,"['Kodiaq', 'híbrido']",SUV Mediano,4.758 m,1.678 m,1.864 m,1964 kg,910 l,45 l,204 CV,5 y 7,4.0,0.4-0.5 l/100Km,['PHEV Gasolina'],9-11 g/Km,"[' Eco', ' Zero']",49.522 €,"3,8"
75,SWM,['G03F'],SUV Mediano,4.605 m,1.825 m,1.815 m,1520 kg,1564 l,52 l,110 CV,7,2.0,7.2 l/100Km,[' Gasolina'],181 g/Km,"[' C', ' Eco']",15.990 €,"2,4"
76,SWM,['G05F'],SUV Grande,4.750 m,1.780 m,1.86 m,1595 kg,187 l,52 l,139 CV,7,2.0,8.5 l/100Km,[' Gasolina'],194-195 g/Km,"[' C', ' Eco', ' Zero']",19.490 €,"2,4"
77,Toyota,"['Highlander', 'Híbrido']",SUV Grande,4.966 m,1.755 m,1.93 m,2055 kg,865 l,65 l,248 CV,7,3.0,7.0 l/100Km,HEV Gasolina,158 g/Km,"[' Eco', ' Zero']",59.250 €,"3,7"
78,Toyota,"['ProAce', 'City', 'Verso']",Monovolumen Pequeño,4.403 m,1.797 m,1.884 m,1516 kg,597 l,53 l,131 CV,5 y 7,3.0,5.5-5.8 l/100Km,[' Diesel'],145-151 g/Km,[' C'],37.372 €,"3,0"
79,Toyota,"['ProAce', 'City', 'Verso', 'eléctrico']",Monovolumen Pequeño,4.408 m,1.797 m,1.884 m,1811 kg,597 l,-,136 CV,7,3.0,330 Kms,[' Eléctrico'],0 g/Km,[' Zero'],43.137 €,"3,1"
80,Toyota,"['ProAce', 'Verso']",Monovolumen Grande,4.609 m,1.910 m,1.924 m,1924 kg,507 l,70 l,144-177 CV,7,3.0,7.3-7.6 l/100Km,[' Diesel'],191-200 g/Km,"[' C', ' Zero']",32.000 €,"3,1"
81,Volkswagen,['Caddy'],Monovolumen Mediano,4.408 m,1.833 m,1.855 m,1646 kg,1720 l,50 l,102-150 CV,5 y 7,5.0,5.4-6.4 l/100Km,[' Diesel'],141-164 g/Km,"[' C', ' Eco', ' Zero']",35.713 €,"3,3"
82,Volkswagen,['California'],Monovolumen Grande,5.173 m,1.972 m,1.904 m,2411 kg,3000 l,70 l,110-204 CV,5 y 6,3.0,6.5-8.5 l/100Km,[' Diesel'],172-223 g/Km,[' C'],62.250 €,"4,2"
83,Volkswagen,['Caravelle'],Monovolumen Grande,4.904 m,1.979 m,1.904 m,2112 kg,2600 l,70 l,110-204 CV,5 y 6 y 7 y 8 y 9,3.0,7.1-8.7 l/100Km,[' Diesel'],185-228 g/Km,[' C'],48.024 €,"3,7"
84,Volkswagen,['Multivan'],Monovolumen Grande,4.973 m,1.909 m,1.941 m,2049 kg,1052 l,58 l,150-245 CV,5 y 6 y 7 y 8,5.0,6.4-7.7 l/100Km,"[' Diesel', 'PHEV Gasolina']",169-174 g/Km,"[' C', ' Eco', ' Zero']",62.433 €,"3,6"
85,Volkswagen,"['Multivan', 'híbrido']",Monovolumen Grande,4.973 m,1.909 m,1.941 m,2294 kg,1052 l,-,245 CV,5 y 6 y 7 y 8,5.0,7.5-7.7 l/100Km,['PHEV Gasolina'],171-174 g/Km,"[' Eco', ' Zero']",72.840 €,"3,7"
86,Volkswagen,['Tayron'],SUV Grande,4.770 m,1.671 m,1.849 m,1723 kg,345 l,55 l,150-272 CV,5 y 7,3.0,0.4-7.9 l/100Km,"[' Diesel', 'PHEV Gasolina', ' Gasolina', 'MHEV Gasolina']",9-179 g/Km,"[' C', ' Eco', ' Zero']",42.100 €,"3,8"
87,Volkswagen,"['Tayron', 'híbrido']",SUV Grande,4.770 m,1.671 m,1.849 m,1723 kg,345 l,55 l,150-272 CV,5 y 7,3.0,0.4-7.9 l/100Km,"[' Diesel', 'PHEV Gasolina', ' Gasolina', 'MHEV Gasolina']",9-179 g/Km,"[' C', ' Eco', ' Zero']",38.000 €,"3,8"
88,Volkswagen,"['Tiguan', 'Allspace']",SUV Grande,4.701 m,1.658 m,1.839 m,1571 kg,700 l,58 l,150-190 CV,7,3.0,5.7-8.5 l/100Km,"[' Diesel', ' Gasolina']",149-193 g/Km,"[' C', ' Eco', ' Zero']",37.400 €,"3,6"
89,Volkswagen,['Touran'],Monovolumen Mediano,4.527 m,1.659 m,1.829 m,1615 kg,137 l,58 l,122-150 CV,7,3.0,5.2-6.6 l/100Km,"[' Diesel', ' Gasolina']",138-149 g/Km,"[' C', ' Zero']",35.000 €,"3,5"
90,Volvo,"['EX90', 'eléctrico']",SUV XXL,5.037 m,1.744 m,1.964 m,2637 kg,689 l,-,283-517 CV,7,4.0,580-585 Kms,[' Eléctrico'],0 g/Km,[' Zero'],72.900 €,"4,2"
91,Volvo,['XC90'],SUV XXL,4.950 m,1.771 m,1.923 m,2080 kg,314 l,71 l,250 CV,7,3.0,8.4-8.5 l/100Km,['MHEV Gasolina'],190-191 g/Km,"[' C', ' Eco']",71.900 €,"4,3"
92,Volvo,"['XC90', 'Híbrido']",SUV XXL,4.950 m,1.767 m,1.923 m,2297 kg,262 l,71 l,455 CV,7,3.0,1.2-1.3 l/100Km,['PHEV Gasolina'],29-32 g/Km,"[' Eco', ' Zero']",80.350 €,"4,0"
93,Land Rover,"['Rover', 'Defender']",Todoterreno,4.323 m,1.969 m,1.996 m,2316 kg,176 l,89 l,249-635 CV,5 y 6 y 7,3.0,8.4-14.6 l/100Km,['MHEV Diesel'],219-330 g/Km,"[' C', ' Eco']",78.170 €,"4,3"
